mode,lam_target,gamma,baseline_tok_per_s,lam_draft,ffn_active,alpha,tv_distance,expected_toks_per_call,tok_per_s,tok_per_s_std,accept_rate,param_ratio,speedup
sweep,0.0,4,6.337638454188814,0.0623,1.0,0.9764449596405029,0.02355504035949707,4.699954873095828,19.78061074356486,1.0341189949533305,0.924988718273957,0.9997682557380214,3.121132719473926
sweep,0.0,4,6.337638454188814,0.0668,1.0,0.975408673286438,0.02459132671356201,4.628807378807379,18.837238510208824,0.4814021374558984,0.9072018447018447,0.9989487223928333,2.9722803921953758
sweep,0.0,4,6.337638454188814,0.0715,1.0,0.9747662544250488,0.025233745574951172,4.800718653678156,19.809342604176454,0.441737657209674,0.9501796634195389,0.9981291890476451,3.1256662473517434
sweep,0.0,4,6.337638454188814,0.0767,1.0,0.9705820083618164,0.029417991638183594,4.753992524634726,19.477566144285486,0.3797096785613389,0.9384981311586816,0.9932119889765162,3.0733160758660723
sweep,0.0,4,6.337638454188814,0.0822,1.0,0.9660121202468872,0.03398787975311279,4.586094866796621,18.286424879400396,0.11831183197926232,0.8965237166991553,0.981738522143882,2.8853688975132563
sweep,0.0,4,6.337638454188814,0.088,1.0,0.9663438200950623,0.033656179904937744,4.500838631273414,17.538828373053622,0.3147454338055469,0.8752096578183535,0.9743627220371887,2.767407528818793
sweep,0.0,4,6.337638454188814,0.0943,1.0,0.9639856815338135,0.03601431846618652,4.756177156177157,18.610950928265655,1.2215761277732797,0.939044289044289,0.9669869219304952,2.936575044915175
sweep,0.0,4,6.337638454188814,0.1011,1.0,0.9641948938369751,0.0358051061630249,4.54688467731946,18.109297118752682,0.7058916983972424,0.886721169329865,0.966167388585307,2.8574203545460186
sweep,0.0,4,6.337638454188814,0.1083,1.0,0.961575448513031,0.038424551486968994,4.72363754858256,18.67342572365813,0.9009770739647646,0.9309093871456399,0.9571525217882374,2.946432785435413
sweep,0.0,4,6.337638454188814,0.1161,1.0,0.9592357873916626,0.0407642126083374,4.700846523855374,18.613513090177793,0.7038556998631249,0.9252116309638434,0.9514157883719203,2.9369793219863047
sweep,0.0,4,6.337638454188814,0.1244,0.998138427734375,0.9593059420585632,0.04069405794143677,4.41947496947497,17.044960583984295,0.6189397943560888,0.8548687423687423,0.9469659784117189,2.6894813749936395
sweep,0.0,4,6.337638454188814,0.1333,0.9835128784179688,0.9615448713302612,0.03845512866973877,4.5320537929233575,18.026472846561763,0.6677930274250554,0.8830134482308395,0.9361215674475593,2.844351721365125
sweep,0.0,4,6.337638454188814,0.1429,0.9321136474609375,0.9594730138778687,0.04052698612213135,4.284345613452815,15.289537027823584,0.9891070159911026,0.8210864033632039,0.8980340753601528,2.4124975159663897
sweep,0.0,4,6.337638454188814,0.1531,0.8813095092773438,0.9501726031303406,0.049827396869659424,4.437650922437941,17.204162821943722,0.7142173387148163,0.8594127306094852,0.864418802347855,2.714601494910579
sweep,0.0,4,6.337638454188814,0.1641,0.834136962890625,0.9419063329696655,0.05809366703033447,4.420221798677929,16.899192080381493,1.1354333688913543,0.8550554496694822,0.8298111256753684,2.6664809301660464
sweep,0.0,4,6.337638454188814,0.1759,0.7838973999023438,0.920520007610321,0.07947999238967896,4.1742166310808475,14.611313152656052,0.39573252308378726,0.7935541577702118,0.7932730638187082,2.3054822799175008
sweep,0.0,4,6.337638454188814,0.1885,0.7260894775390625,0.916918158531189,0.08308184146881104,4.2911635438352995,15.473359837452819,1.4336512608316923,0.8227908859588249,0.7568886644642708,2.4415024538400134
sweep,0.0,4,6.337638454188814,0.202,0.6578445434570312,0.8973507285118103,0.1026492714881897,4.093703172325841,14.178275230830772,0.6939654467245284,0.7734257930814602,0.710657059759057,2.237154317545481
sweep,0.0,4,6.337638454188814,0.2164,0.5781097412109375,0.8917245864868164,0.1082754135131836,3.822602542269005,13.650699721335284,1.1951718312097863,0.7056506355672513,0.653915580162231,2.1539095074621932
sweep,0.0,4,6.337638454188814,0.2319,0.48662567138671875,0.884229838848114,0.11577016115188599,3.8914169100192972,15.040929804169906,1.7951025825360525,0.7228542275048243,0.5946962927170627,2.3732704086691343
sweep,0.0,4,6.337638454188814,0.2485,0.39437103271484375,0.8806406855583191,0.11935931444168091,3.7562352941176465,13.576055918504437,0.9375858981368196,0.6890588235294116,0.5325334079636892,2.1421316499257617
